Sun Apr 01 14:12:05 GMT+09:00 2018,01-4월-2018 14:12:06.159,127.12298027,36.64129772,0.25,3,140,66.3,2.28,7.67,7.11,0.11,-0.2,-,-,997.47,-,8,1,0.17,-,14.5,0.07,0.02,134.49,-10,0.05,440,173.2,-14.87,0,0.52,0.01,1.05,45.16,0,0.07,0,0,46,18.52,5.4,52.31,0.23,0.78,0.63,0.1,14.9,1,14.57,798,72,37.25,-,213.39,14.3,52,-0.29,0.61,84,30,14.21
Sun Apr 01 14:12:06 GMT+09:00 2018,01-4월-2018 14:12:07.172,127.12297731,36.64129734,0.25,4,140,66.3,2.44,7.74,7.04,0.11,-0.2,-,-,997.47,-,8,1,0.17,-,14.5,0.07,0.02,134.49,-10,0.05,440,175.4,-14.87,0,0.52,0.01,1.05,45.16,0,0.07,0,0,48,18.52,5.4,52.31,0.24,0.79,0.62,0.09,14.9,1,14.57,798,72,37.25,-,213.39,14.2,52,-0.29,0.61,84,30,14.21
Sun Apr 01 14:12:07 GMT+09:00 2018,01-4월-2018 14:12:08.183,127.12297343,36.64129627,0.5,3,140,66.3,2.46,7.99,6.73,0.11,-0.2,-,-,997.47,-,7,2.5,0.71,-,14.5,0.07,0.02,134.49,-10,0.59,440,175.4,-14.87,0,0.52,0.01,1,45.16,0,0.79,1.71,0,48,1.71,58.42,4.84,0.25,0.81,0.59,0.09,14.9,1,14.57,792,72,35.69,0,213.39,14.2,52,-0.29,7.09,84,30,14.21
Sun Apr 01 14:12:08 GMT+09:00 2018,01-4월-2018 14:12:09.216,127.12296767,36.64129548,0.5,3,140,66.3,2.46,8.18,6.65,0.12,-0.2,-,-,997.47,-,7,2.5,0.71,-,14.5,0.07,0.02,134.49,-10,0.59,440,175.4,-14.87,0,0.52,0.01,1,45.16,0,0.79,1.71,0,48,1.71,58.42,4.84,0.25,0.83,0.57,0.1,14.9,1,14.57,792,72,35.69,0,213.39,14.3,51,-0.29,7.09,84,30,14.21
Sun Apr 01 14:12:09 GMT+09:00 2018,01-4월-2018 14:12:10.199,127.12295651,36.64129202,1,3,140,243.1,2.38,8.51,6.35,0.13,-0.2,-,-,997.47,-,7,2.5,0.71,-,14.5,0.26,1.85,134.49,-10,0.59,440,175.4,-14.87,0,0.51,0.01,0.95,45.16,0,0.79,7.38,0,50,4.55,22,12.84,0.24,0.86,0.55,0.11,14.9,1,14.57,791,72,35.69,0,213.39,14.3,51,-0.29,7.09,84,30,14.21
Sun Apr 01 14:12:10 GMT+09:00 2018,01-4월-2018 14:12:11.176,127.12294764,36.64128693,1,3,140,236.5,2.42,7.72,6.86,0.1,-0.2,-,-,997.47,-,7,2.33,0.88,-,14.5,0.26,1.85,134.49,-10,0.59,440,175.4,-14.87,0,0.51,0.01,0.95,45.16,0,0.79,7.38,0,50,4.55,22,12.84,0.23,0.89,0.52,0.11,14.9,1,14.57,791,72,35.69,0,213.39,14.3,52,-0.29,7.09,84,30,14.21
Sun Apr 01 14:12:11 GMT+09:00 2018,01-4월-2018 14:12:12.160,127.12294044,36.64128276,0.75,3,140,229.9,2.34,8.07,6.81,0.12,-0.2,-,-,997.47,-,1,2.33,0.88,-,14.5,0.26,1.85,134.49,-8,0.59,440,177.8,-14.87,0,0.51,0.01,0.45,45.16,0,0.79,7.38,0,52,4.55,22,12.32,0.24,0.81,0.59,0.1,14.9,1,14.57,791,72,35.69,0,213.39,14.3,52,-0.44,7.09,84,30,14.07
Sun Apr 01 14:12:12 GMT+09:00 2018,01-4월-2018 14:12:13.163,127.12294117,36.64128646,0,3,140,0,2.07,8.28,6.65,0.12,-0.2,-,-,997.47,-,1,2.33,0.78,-,14.5,0.21,0.96,134.49,-8,-,440,177.8,-14.87,0,0.47,0.01,0.45,45.16,0,-,3.99,0,52,4.36,22.93,12.32,0.22,0.84,0.58,0.11,14.9,1,14.57,756,72,42.35,0,213.39,14.3,51,-0.44,-,84,30,14.07
Sun Apr 01 14:12:13 GMT+09:00 2018,01-4월-2018 14:12:14.176,127.12294062,36.64128933,0,3,140,0,1.65,8.64,6.5,0.13,-0.2,-,-,997.47,-,14,2.33,0.78,-,14.5,0.21,0.96,134.49,10,-,440,177.8,-14.87,0,0.47,0.01,1.75,45.16,0,-,3.99,0,55,4.36,22.93,12.32,0.18,0.87,0.57,0.11,18.82,1,14.57,756,72,42.35,0,213.39,14.3,51,-0.44,-,84,30,14.07
Sun Apr 01 14:12:14 GMT+09:00 2018,01-4월-2018 14:12:15.166,127.12293844,36.64128927,0.25,3,140,229.9,1.29,8.49,6.71,0.13,-0.2,-,-,997.47,-,14,2.75,1.1,-,14.5,∞,1.21,134.49,10,0.79,440,177.8,-14.87,0,0.96,0.02,1.75,45.16,0,1.06,0,0,55,4.31,23.21,12.17,0.13,0.87,0.58,0.11,18.82,1,14.57,1253.5,72,55.29,0,213.39,14.3,51,-0.29,6,84,31,14.21
